index,ratio,scaled
184,483.960176991,0.331851276587
185,636.279500231,0.765518092653
186,671.241050119,0.865056770361
187,902.823374918,1.52439248244
188,411.184210526,0.124651553062
189,485.248447205,0.33551909778
190,659.824046921,0.83255153517
191,0.0,-1.04602688486
192,544.899738448,0.50535169024
193,707.013574661,0.966904365863
194,365.344467641,-0.0058583187228
195,416.111850866,0.138680988403
196,0.0,-1.04602688486
197,49.8256103637,-0.904168889788
198,219.138056976,-0.422121122764
199,0.0,-1.04602688486
200,343.642611684,-0.0676454549536
201,425.99805258,0.166827894058
202,0.0,-1.04602688486
203,602.893890675,0.670466258844
204,363.020329138,-0.0124753501212
205,369.458128079,0.00585364261298
206,897.129186603,1.50818061606
207,0.0,-1.04602688486
208,854.993160055,1.38821555787
209,408.496732026,0.117000060004
210,300.894085282,-0.189354355321
